;Unnamed: 0.1;Unnamed: 0;Tweets;step01;tokens;final_tokens;step02;finalText_str;ProcessedText
187;188;188.0;"Imunisasi PCV diberikan sebanyak 3 dosis, saat anak berusia 2 bulan, 3 bulan dan 12 bulan dengan dosis 0,5 ml

Prog… https://t.co/bHz6VzMjN4";imunisasi pcv diberikan sebanyak   dosis saat anak berusia   bulan   bulan dan   bulan dengan dosis     ml prog cobhzvzmjn;['imunisasi', 'pcv', 'diberikan', 'sebanyak', 'dosis', 'saat', 'anak', 'berusia', 'bulan', 'bulan', 'dan', 'bulan', 'dengan', 'dosis', 'ml', 'prog', 'cobhzvzmjn'];['imunisasi', 'pcv', 'diberikan', 'sebanyak', 'dosis', 'saat', 'anak', 'berusia', 'bulan', 'bulan', 'dan', 'bulan', 'dengan', 'dosis', 'ml', 'prog', 'cobhzvzmjn'];imunisasi pcv diberikan sebanyak dosis saat anak berusia bulan bulan dan bulan dengan dosis ml prog cobhzvzmjn;imunisasi pcv diberikan sebanyak dosis saat anak berusia bulan bulan dan bulan dengan dosis ml prog cobhzvzmjn;imunisasi pcv beri banyak dosis anak usia bulan bulan bulan dosis ml prog cobhzvzmjn
188;189;189.0;Tujuannya untuk melindungi dan mencegah anak dari bahaya penyakit pneumonia atau radang paru, yang menjadi salah sa… https://t.co/Zx7wMpcVzR;tujuannya untuk melindungi dan mencegah anak dari bahaya penyakit pneumonia atau radang paru yang menjadi salah sa co;['tujuannya', 'untuk', 'melindungi', 'dan', 'mencegah', 'anak', 'dari', 'bahaya', 'penyakit', 'pneumonia', 'atau', 'radang', 'paru', 'yang', 'menjadi', 'salah', 'sa', 'co'];['tujuannya', 'untuk', 'melindungi', 'dan', 'mencegah', 'anak', 'dari', 'bahaya', 'penyakit', 'pneumonia', 'atau', 'radang', 'paru', 'yang', 'menjadi', 'salah', 'sa', 'co'];tujuannya untuk melindungi dan mencegah anak dari bahaya penyakit pneumonia atau radang paru yang menjadi salah sa co;tujuannya untuk melindungi dan mencegah anak dari bahaya penyakit pneumonia atau radang paru yang menjadi salah sa co;tuju lindung cegah anak bahaya sakit pneumonia radang paru jadi salah sa co
189;190;190.0;"Imunisasi PCV menjadi Imunisasi Rutin Bagi Anak dan Balita

Komitmen pemerintah untuk melindungi anak-anak Indonesi… https://t.co/ToytPbE5Ge";imunisasi pcv menjadi imunisasi rutin bagi anak dan balita komitmen pemerintah untuk melindungi anak anak indonesi cotoytpbege;['imunisasi', 'pcv', 'menjadi', 'imunisasi', 'rutin', 'bagi', 'anak', 'dan', 'balita', 'komitmen', 'pemerintah', 'untuk', 'melindungi', 'anak', 'anak', 'indonesi', 'cotoytpbege'];['imunisasi', 'pcv', 'menjadi', 'imunisasi', 'rutin', 'bagi', 'anak', 'dan', 'balita', 'komitmen', 'pemerintah', 'untuk', 'melindungi', 'anak', 'anak', 'indonesi', 'cotoytpbege'];imunisasi pcv menjadi imunisasi rutin bagi anak dan balita komitmen pemerintah untuk melindungi anak anak indonesi cotoytpbege;imunisasi pcv menjadi imunisasi rutin bagi anak dan balita komitmen pemerintah untuk melindungi anak anak indonesi cotoytpbege;imunisasi pcv jadi imunisasi rutin anak balita komitmen perintah lindung anak anak indonesi cotoytpbege
190;191;191.0;"Update Situasi Terkini Perkembangan #COVID19 di Indonesia (13/9)
 
#LawanCovid19 #jagajarak #dirumahaja… https://t.co/0nOKIt4oC0";update situasi terkini perkembangan di indonesia   conokitoc;['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'conokitoc'];['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'conokitoc'];update situasi terkini perkembangan di indonesia conokitoc;update situasi terkini perkembangan di indonesia conokitoc;update situasi kini kembang indonesia conokitoc
191;192;192.0;Semoga aksi bersama ini semakin mengingkatkan kesadaran anak-anak Indonesia untuk menjaga kesehatan gigi dan mulut… https://t.co/iXbVZbHk5c;semoga aksi bersama ini semakin mengingkatkan kesadaran anak anak indonesia untuk menjaga kesehatan gigi dan mulut co;['semoga', 'aksi', 'bersama', 'ini', 'semakin', 'mengingkatkan', 'kesadaran', 'anak', 'anak', 'indonesia', 'untuk', 'menjaga', 'kesehatan', 'gigi', 'dan', 'mulut', 'co'];['semoga', 'aksi', 'bersama', 'ini', 'semakin', 'mengingkatkan', 'kesadaran', 'anak', 'anak', 'indonesia', 'untuk', 'menjaga', 'kesehatan', 'gigi', 'dan', 'mulut', 'co'];semoga aksi bersama ini semakin mengingkatkan kesadaran anak anak indonesia untuk menjaga kesehatan gigi dan mulut co;semoga aksi bersama ini semakin mengingkatkan kesadaran anak anak indonesia untuk menjaga kesehatan gigi dan mulut co;moga aksi sama makin mengingkatkan sadar anak anak indonesia jaga sehat gigi mulut co
192;193;193.0;Kemarin, anak-anak dari berbagai daerah di Indonesia antusias mengikuti sikat gigi bersama yang digelar di GBK Jaka… https://t.co/PrwGIZRj56;kemarin anak anak dari berbagai daerah di indonesia antusias mengikuti sikat gigi bersama yang digelar di gbk jaka coprwgizrj;['kemarin', 'anak', 'anak', 'dari', 'berbagai', 'daerah', 'di', 'indonesia', 'antusias', 'mengikuti', 'sikat', 'gigi', 'bersama', 'yang', 'digelar', 'di', 'gbk', 'jaka', 'coprwgizrj'];['kemarin', 'anak', 'anak', 'dari', 'berbagai', 'daerah', 'di', 'indonesia', 'antusias', 'mengikuti', 'sikat', 'gigi', 'bersama', 'yang', 'digelar', 'di', 'gbk', 'jaka', 'coprwgizrj'];kemarin anak anak dari berbagai daerah di indonesia antusias mengikuti sikat gigi bersama yang digelar di gbk jaka coprwgizrj;kemarin anak anak dari berbagai daerah di indonesia antusias mengikuti sikat gigi bersama yang digelar di gbk jaka coprwgizrj;kemarin anak anak bagai daerah indonesia antusias ikut sikat gigi sama gelar gbk jaka coprwgizrj
193;194;194.0;"#RilisSehat

Kemenkes Targetkan 4,6 Juta Anak Indonesia Terima Imunisasi PCV @KemenkesRI 

https://t.co/aXtSRE6evp https://t.co/9m0tH78KVD";kemenkes targetkan     juta anak indonesia terima imunisasi pcv kemenkesri co comthkvd;['kemenkes', 'targetkan', 'juta', 'anak', 'indonesia', 'terima', 'imunisasi', 'pcv', 'kemenkesri', 'co', 'comthkvd'];['kemenkes', 'targetkan', 'juta', 'anak', 'indonesia', 'terima', 'imunisasi', 'pcv', 'kemenkesri', 'co', 'comthkvd'];kemenkes targetkan juta anak indonesia terima imunisasi pcv kemenkesri co comthkvd;kemenkes targetkan juta anak indonesia terima imunisasi pcv kemenkesri co comthkvd;kemenkes target juta anak indonesia terima imunisasi pcv kemenkesri co comthkvd
194;195;195.0;"#RilisSehat

Sistem Surveilans Terintegrasi Menjadi Modal Hadapi Pandemi @KemenkesRI 

https://t.co/DbMpsOIKyw https://t.co/U5S180GIZB";sistem surveilans terintegrasi menjadi modal hadapi pandemi kemenkesri codbmpsoikyw cousgizb;['sistem', 'surveilans', 'terintegrasi', 'menjadi', 'modal', 'hadapi', 'pandemi', 'kemenkesri', 'codbmpsoikyw', 'cousgizb'];['sistem', 'surveilans', 'terintegrasi', 'menjadi', 'modal', 'hadapi', 'pandemi', 'kemenkesri', 'codbmpsoikyw', 'cousgizb'];sistem surveilans terintegrasi menjadi modal hadapi pandemi kemenkesri codbmpsoikyw cousgizb;sistem surveilans terintegrasi menjadi modal hadapi pandemi kemenkesri codbmpsoikyw cousgizb;sistem surveilans integrasi jadi modal hadap pandemi kemenkesri codbmpsoikyw cousgizb
195;196;196.0;"#RilisSehat

Pemerintah Berikan Imunisasi PCV bagi Seluruh Anak Indonesia Untuk Melindungi dari Bahaya Radang Paru… https://t.co/ixI1pGM5sC";pemerintah berikan imunisasi pcv bagi seluruh anak indonesia untuk melindungi dari bahaya radang paru co;['pemerintah', 'berikan', 'imunisasi', 'pcv', 'bagi', 'seluruh', 'anak', 'indonesia', 'untuk', 'melindungi', 'dari', 'bahaya', 'radang', 'paru', 'co'];['pemerintah', 'berikan', 'imunisasi', 'pcv', 'bagi', 'seluruh', 'anak', 'indonesia', 'untuk', 'melindungi', 'dari', 'bahaya', 'radang', 'paru', 'co'];pemerintah berikan imunisasi pcv bagi seluruh anak indonesia untuk melindungi dari bahaya radang paru co;pemerintah berikan imunisasi pcv bagi seluruh anak indonesia untuk melindungi dari bahaya radang paru co;perintah ikan imunisasi pcv seluruh anak indonesia lindung bahaya radang paru co
196;197;197.0;"#RilisSehat

Puncak HKGN 2022, Indonesia Pecahkan Rekor Gerakan Sikat Gigi Bersama @KemenkesRI… https://t.co/jZNDtkolQk";puncak hkgn   indonesia pecahkan rekor gerakan sikat gigi bersama kemenkesri cojzndtkolqk;['puncak', 'hkgn', 'indonesia', 'pecahkan', 'rekor', 'gerakan', 'sikat', 'gigi', 'bersama', 'kemenkesri', 'cojzndtkolqk'];['puncak', 'hkgn', 'indonesia', 'pecahkan', 'rekor', 'gerakan', 'sikat', 'gigi', 'bersama', 'kemenkesri', 'cojzndtkolqk'];puncak hkgn indonesia pecahkan rekor gerakan sikat gigi bersama kemenkesri cojzndtkolqk;puncak hkgn indonesia pecahkan rekor gerakan sikat gigi bersama kemenkesri cojzndtkolqk;puncak hkgn indonesia pecah rekor gera sikat gigi sama kemenkesri cojzndtkolqk
197;198;198.0;"#RilisSehat

Indonesia Siap Perkuat Kerjasama Guna Mewujudkan Transformasi Kesehatan @KemenkesRI… https://t.co/8LL8y116p1";indonesia siap perkuat kerjasama guna mewujudkan transformasi kesehatan kemenkesri collyp;['indonesia', 'siap', 'perkuat', 'kerjasama', 'guna', 'mewujudkan', 'transformasi', 'kesehatan', 'kemenkesri', 'collyp'];['indonesia', 'siap', 'perkuat', 'kerjasama', 'guna', 'mewujudkan', 'transformasi', 'kesehatan', 'kemenkesri', 'collyp'];indonesia siap perkuat kerjasama guna mewujudkan transformasi kesehatan kemenkesri collyp;indonesia siap perkuat kerjasama guna mewujudkan transformasi kesehatan kemenkesri collyp;indonesia siap kuat kerjasama wujud transformasi sehat kemenkesri collyp
198;199;199.0;"Update Situasi Terkini Perkembangan #COVID19 di Indonesia (12/9)
 
#LawanCovid19 #jagajarak #dirumahaja… https://t.co/8rbgZg01i9";update situasi terkini perkembangan di indonesia   corbgzgi;['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'corbgzgi'];['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'corbgzgi'];update situasi terkini perkembangan di indonesia corbgzgi;update situasi terkini perkembangan di indonesia corbgzgi;update situasi kini kembang indonesia corbgzgi
