;Unnamed: 0.1;Unnamed: 0;Tweets;step01;tokens;final_tokens;step02;finalText_str;ProcessedText
167;168;168.0;"#RilisSehat

Kecepatan Izin Usaha Kemenkes Diapresiasi dalam Uji Petik Percepatan Pelaksanaan Berusaha (PPB) Tahun… https://t.co/4ea78dsoHh";kecepatan izin usaha kemenkes diapresiasi dalam uji petik percepatan pelaksanaan berusaha ppb tahun coeadsohh;['kecepatan', 'izin', 'usaha', 'kemenkes', 'diapresiasi', 'dalam', 'uji', 'petik', 'percepatan', 'pelaksanaan', 'berusaha', 'ppb', 'tahun', 'coeadsohh'];['kecepatan', 'izin', 'usaha', 'kemenkes', 'diapresiasi', 'dalam', 'uji', 'petik', 'percepatan', 'pelaksanaan', 'berusaha', 'ppb', 'tahun', 'coeadsohh'];kecepatan izin usaha kemenkes diapresiasi dalam uji petik percepatan pelaksanaan berusaha ppb tahun coeadsohh;kecepatan izin usaha kemenkes diapresiasi dalam uji petik percepatan pelaksanaan berusaha ppb tahun coeadsohh;cepat izin usaha kemenkes apresiasi uji petik cepat laksana usaha ppb tahun coeadsohh
168;169;169.0;"Update Situasi Terkini Perkembangan #COVID19 di Indonesia (15/9)
 
#LawanCovid19 #jagajarak #dirumahaja… https://t.co/AY7SsGqH9C";update situasi terkini perkembangan di indonesia   coayssgqhc;['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'coayssgqhc'];['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'coayssgqhc'];update situasi terkini perkembangan di indonesia coayssgqhc;update situasi terkini perkembangan di indonesia coayssgqhc;update situasi kini kembang indonesia coayssgqhc
169;170;170.0;"Imbangi dengan menerapkan pola hidup sehat. 

Caranya jaga berat badan ideal, rutin bergerak, makan makanan sehat,… https://t.co/JXnQbwGcDl";imbangi dengan menerapkan pola hidup sehat caranya jaga berat badan ideal rutin bergerak makan makanan sehat co;['imbangi', 'dengan', 'menerapkan', 'pola', 'hidup', 'sehat', 'caranya', 'jaga', 'berat', 'badan', 'ideal', 'rutin', 'bergerak', 'makan', 'makanan', 'sehat', 'co'];['imbangi', 'dengan', 'menerapkan', 'pola', 'hidup', 'sehat', 'caranya', 'jaga', 'berat', 'badan', 'ideal', 'rutin', 'bergerak', 'makan', 'makanan', 'sehat', 'co'];imbangi dengan menerapkan pola hidup sehat caranya jaga berat badan ideal rutin bergerak makan makanan sehat co;imbangi dengan menerapkan pola hidup sehat caranya jaga berat badan ideal rutin bergerak makan makanan sehat co;imbang terap pola hidup sehat cara jaga berat badan ideal rutin gerak makan makan sehat co
170;171;171.0;Limfoma atau kanker kelenjar getah bening adalah kanker darah yg ditandai dgn pembengkakan pada kelenjar getah beni… https://t.co/nobjoEJzlh;limfoma atau kanker kelenjar getah bening adalah kanker darah yg ditandai dgn pembengkakan pada kelenjar getah beni conobjoejzlh;['limfoma', 'atau', 'kanker', 'kelenjar', 'getah', 'bening', 'adalah', 'kanker', 'darah', 'yg', 'ditandai', 'dgn', 'pembengkakan', 'pada', 'kelenjar', 'getah', 'beni', 'conobjoejzlh'];['limfoma', 'atau', 'kanker', 'kelenjar', 'getah', 'bening', 'adalah', 'kanker', 'darah', 'yg', 'ditandai', 'dgn', 'pembengkakan', 'pada', 'kelenjar', 'getah', 'beni', 'conobjoejzlh'];limfoma atau kanker kelenjar getah bening adalah kanker darah yg ditandai dgn pembengkakan pada kelenjar getah beni conobjoejzlh;limfoma atau kanker kelenjar getah bening adalah kanker darah yg ditandai dgn pembengkakan pada kelenjar getah beni conobjoejzlh;limfoma kanker kelenjar getah bening kanker darah tanda dgn bengkak kelenjar getah beni conobjoejzlh
171;172;172.0;"#RilisSehat

Transformasi Organisasi Kemenkes sebagai Fondasi Transformasi Kesehatan @KemenkesRI… https://t.co/TmSLV6k7tB";transformasi organisasi kemenkes sebagai fondasi transformasi kesehatan kemenkesri cotmslvktb;['transformasi', 'organisasi', 'kemenkes', 'sebagai', 'fondasi', 'transformasi', 'kesehatan', 'kemenkesri', 'cotmslvktb'];['transformasi', 'organisasi', 'kemenkes', 'sebagai', 'fondasi', 'transformasi', 'kesehatan', 'kemenkesri', 'cotmslvktb'];transformasi organisasi kemenkes sebagai fondasi transformasi kesehatan kemenkesri cotmslvktb;transformasi organisasi kemenkes sebagai fondasi transformasi kesehatan kemenkesri cotmslvktb;transformasi organisasi kemenkes fondasi transformasi sehat kemenkesri cotmslvktb
172;173;173.0;Melalui kesempatan ini, diharapkan kian meningkatkan kapasitas penelitian vaksin dan bioteknologi di negara anggota… https://t.co/F8sHrAhWGA;melalui kesempatan ini diharapkan kian meningkatkan kapasitas penelitian vaksin dan bioteknologi di negara anggota cofshrahwga;['melalui', 'kesempatan', 'ini', 'diharapkan', 'kian', 'meningkatkan', 'kapasitas', 'penelitian', 'vaksin', 'dan', 'bioteknologi', 'di', 'negara', 'anggota', 'cofshrahwga'];['melalui', 'kesempatan', 'ini', 'diharapkan', 'kian', 'meningkatkan', 'kapasitas', 'penelitian', 'vaksin', 'dan', 'bioteknologi', 'di', 'negara', 'anggota', 'cofshrahwga'];melalui kesempatan ini diharapkan kian meningkatkan kapasitas penelitian vaksin dan bioteknologi di negara anggota cofshrahwga;melalui kesempatan ini diharapkan kian meningkatkan kapasitas penelitian vaksin dan bioteknologi di negara anggota cofshrahwga;lalu sempat harap kian tingkat kapasitas teliti vaksin bioteknologi negara anggota cofshrahwga
173;174;174.0;Program ini merupakan bagian dari COMSTECH Fellowship For Research and Advance Training in Virology and Vaccine Tec… https://t.co/6AbKTuMcMI;program ini merupakan bagian dari comstech fellowship for research and advance training in virology and vaccine tec coabktumcmi;['program', 'ini', 'merupakan', 'bagian', 'dari', 'comstech', 'fellowship', 'for', 'research', 'and', 'advance', 'training', 'in', 'virology', 'and', 'vaccine', 'tec', 'coabktumcmi'];['program', 'ini', 'merupakan', 'bagian', 'dari', 'comstech', 'fellowship', 'for', 'research', 'and', 'advance', 'training', 'in', 'virology', 'and', 'vaccine', 'tec', 'coabktumcmi'];program ini merupakan bagian dari comstech fellowship for research and advance training in virology and vaccine tec coabktumcmi;program ini merupakan bagian dari comstech fellowship for research and advance training in virology and vaccine tec coabktumcmi;program rupa bagi comstech fellowship for research and advance training in virology and vaccine tec coabktumcmi
174;175;175.0;Tindaklanjut dari kerja sama ini dengan diajukannya penempatan magang 4 orang peneliti dari Mesir dan Pakistan di B… https://t.co/zQ3VILbVaE;tindaklanjut dari kerja sama ini dengan diajukannya penempatan magang   orang peneliti dari mesir dan pakistan di cozqvilbvae;['tindaklanjut', 'dari', 'kerja', 'sama', 'ini', 'dengan', 'diajukannya', 'penempatan', 'magang', 'orang', 'peneliti', 'dari', 'mesir', 'dan', 'pakistan', 'di', 'cozqvilbvae'];['tindaklanjut', 'dari', 'kerja', 'sama', 'ini', 'dengan', 'diajukannya', 'penempatan', 'magang', 'orang', 'peneliti', 'dari', 'mesir', 'dan', 'pakistan', 'di', 'cozqvilbvae'];tindaklanjut dari kerja sama ini dengan diajukannya penempatan magang orang peneliti dari mesir dan pakistan di cozqvilbvae;tindaklanjut dari kerja sama ini dengan diajukannya penempatan magang orang peneliti dari mesir dan pakistan di cozqvilbvae;tindaklanjut kerja sama dengan aju tempat magang orang teliti mesir pakistan cozqvilbvae
175;176;176.0;Penunjukan Indonesia sebagai Organization of Islamic Cooperation - Center of Excellence (OIC - CoE) on Vaccine and… https://t.co/9POrfwD3tP;penunjukan indonesia sebagai organization of islamic cooperation center of oic coe on vaccine and coporfwdtp;['penunjukan', 'indonesia', 'sebagai', 'organization', 'of', 'islamic', 'cooperation', 'center', 'of', 'oic', 'coe', 'on', 'vaccine', 'and', 'coporfwdtp'];['penunjukan', 'indonesia', 'sebagai', 'organization', 'of', 'islamic', 'cooperation', 'center', 'of', 'oic', 'coe', 'on', 'vaccine', 'and', 'coporfwdtp'];penunjukan indonesia sebagai organization of islamic cooperation center of oic coe on vaccine and coporfwdtp;penunjukan indonesia sebagai organization of islamic cooperation center of oic coe on vaccine and coporfwdtp;tunjuk indonesia organization of islamic cooperation center of oic coe on vaccine and coporfwdtp
176;177;177.0;"Kualitas penelitian dan pengembangan vaksin di Indonesia diakui dunia

Ini buktinya 👇 https://t.co/KQYmvmvH3P";kualitas penelitian dan pengembangan vaksin di indonesia diakui dunia ini buktinya cokqymvmvhp;['kualitas', 'penelitian', 'dan', 'pengembangan', 'vaksin', 'di', 'indonesia', 'diakui', 'dunia', 'ini', 'buktinya', 'cokqymvmvhp'];['kualitas', 'penelitian', 'dan', 'pengembangan', 'vaksin', 'di', 'indonesia', 'diakui', 'dunia', 'ini', 'buktinya', 'cokqymvmvhp'];kualitas penelitian dan pengembangan vaksin di indonesia diakui dunia ini buktinya cokqymvmvhp;kualitas penelitian dan pengembangan vaksin di indonesia diakui dunia ini buktinya cokqymvmvhp;kualitas teliti kembang vaksin indonesia aku dunia bukti cokqymvmvhp
